feature,coef,std_err,z_value,pval,odds_ratio,lower_ci,upper_ci,selected,ranking
diff_TDAcc,-0.038,0.034,-1.125,0.261,0.963,0.901,1.029,False,5
diff_StrAcc,0.116,0.037,3.147,0.00165,1.123,1.045,1.207,True,1
diff_SubAvg,0.041,0.034,1.217,0.223,1.042,0.975,1.113,False,6
diff_StrDef,0.085,0.038,2.242,0.025,1.089,1.011,1.173,False,2
diff_Age,-0.279,0.034,-8.217,2.08e-16,0.756,0.708,0.808,True,1
diff_SApM,-0.284,0.043,-6.54,6.13e-11,0.753,0.692,0.82,True,1
diff_SLpM,0.366,0.043,8.535,1.4e-17,1.442,1.326,1.569,True,1
diff_Reach,0.064,0.04,1.581,0.114,1.066,0.985,1.154,False,4
diff_TDAvg,0.144,0.036,3.972,7.13e-05,1.155,1.076,1.241,True,1
diff_Height_in,-0.027,0.041,-0.654,0.513,0.974,0.899,1.055,False,8
diff_Draws,-0.052,0.033,-1.575,0.115,0.95,0.891,1.013,False,3
diff_TDDef,0.201,0.035,5.797,6.74e-09,1.223,1.142,1.309,True,1
diff_Weight,0.081,0.033,2.448,0.0144,1.084,1.016,1.157,True,1
diff_Wins,0.716,0.045,15.915,4.98e-57,2.046,1.873,2.234,True,1
diff_Losses,-0.579,0.044,-13.05,6.36e-39,0.56,0.514,0.611,True,1
diff_Stance_Orthodox,0.025,0.383,0.066,0.948,1.025,0.484,2.172,False,7
diff_Stance_Southpaw,0.054,0.352,0.152,0.879,1.055,0.53,2.102,False,9
diff_Stance_Switch,0.036,0.203,0.178,0.859,1.037,0.697,1.543,False,10
